{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 0 dropped of 53', 'bandwidth_kbps': '3279 Kbps', 'buffer_health_seconds': '18.58 s', 'date': 'Fri Jun 14 2024 16:01:55 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:1.63 b:0.000-19.987  L pbs:9022', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '391 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [419702.34375, 419702.34375, 419702.34375], 'network_activity_samples': [299152, 288096, 400848], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [15.001776695251465, 18.855506896972656, 18.582256317138672], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.017402060563106815, 'current_time': 1.634927}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 0 dropped of 105', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '16.76 s', 'date': 'Fri Jun 14 2024 16:01:56 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:3.36 b:0.000-19.987  L pbs:9022', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '833 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375], 'network_activity_samples': [853260], 'live_latency_samples': [None], 'buffer_health_samples': [16.757375717163086], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.017402060563106815, 'current_time': 3.362632}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 0 dropped of 114', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '19.78 s', 'date': 'Fri Jun 14 2024 16:01:57 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:3.64 b:0.000-26.193  L pbs:9022', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375], 'network_activity_samples': [0], 'live_latency_samples': [None], 'buffer_health_samples': [19.776247024536133], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.022805705772902717, 'current_time': 3.635556}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 0 dropped of 243', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '25.48 s', 'date': 'Fri Jun 14 2024 16:02:01 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:7.97 b:0.000-30.001  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375, 322927.09375], 'network_activity_samples': [133, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [24.417600631713867, 25.484882354736328], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 7.97081}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 283', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '20.73 s', 'date': 'Fri Jun 14 2024 16:02:02 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:9.29 b:0.000-30.001  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375, 322927.09375], 'network_activity_samples': [0, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [21.95652198791504, 20.731983184814453], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 9.29436}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 298', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '20.20 s', 'date': 'Fri Jun 14 2024 16:02:03 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:9.81 b:0.000-30.001  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375], 'network_activity_samples': [0], 'live_latency_samples': [None], 'buffer_health_samples': [20.195016860961914], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 9.808421}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 329', 'bandwidth_kbps': '2523 Kbps', 'buffer_health_seconds': '19.60 s', 'date': 'Fri Jun 14 2024 16:02:04 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:10.82 b:0.000-30.001  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [322927.09375], 'network_activity_samples': [0], 'live_latency_samples': [None], 'buffer_health_samples': [19.596712112426758], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 10.821382}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 356', 'bandwidth_kbps': '2309 Kbps', 'buffer_health_seconds': '30.44 s', 'date': 'Fri Jun 14 2024 16:02:05 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:11.78 b:0.000-42.209  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '354 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [317668.96875, 317668.96875, 295524.21875], 'network_activity_samples': [1040638, 0, 362167], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [21.71641731262207, 25.28852081298828, 30.435583114624023], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.03675059663689215, 'current_time': 11.776222}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 388', 'bandwidth_kbps': '2309 Kbps', 'buffer_health_seconds': '35.08 s', 'date': 'Fri Jun 14 2024 16:02:06 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:12.83 b:0.000-47.581  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [295524.21875, 295524.21875], 'network_activity_samples': [133, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [35.402652740478516, 35.077613830566406], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 12.834887}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 413', 'bandwidth_kbps': '2309 Kbps', 'buffer_health_seconds': '34.19 s', 'date': 'Fri Jun 14 2024 16:02:07 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:13.66 b:0.000-47.581  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [295524.21875, 295524.21875, 295524.21875], 'network_activity_samples': [0, 0, 0], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [34.735599517822266, 34.449546813964844, 34.18861770629883], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 13.656611}
{'video_id_and_cpn': 'r0u5URS3VXE / AB4K FH6K FDGZ A8XH GFQ0', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 0 dropped of 445', 'bandwidth_kbps': '2309 Kbps', 'buffer_health_seconds': '33.06 s', 'date': 'Fri Jun 14 2024 16:02:08 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:14.74 b:0.000-47.581  L pbs:9140', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / 100% (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [295524.21875, 295524.21875, 295524.21875, 295524.21875], 'network_activity_samples': [0, 0, 0, 0], 'live_latency_samples': [None, None, None, None], 'buffer_health_samples': [33.898746490478516, 33.64295959472656, 33.37955093383789, 33.05638885498047], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 14.737448}
