{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 1 dropped of 59', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '18.71 s', 'date': 'Fri Jun 14 2024 17:14:01 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:1.84 b:0.000-19.987  L pbs:9064', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '245 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125, 389901.53125, 389901.53125], 'network_activity_samples': [299145, 478106, 251297], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [15.180953979492188, 18.976539611816406, 18.713491439819336], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.017402060563106815, 'current_time': 1.839359}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 1 dropped of 86', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '27.43 s', 'date': 'Fri Jun 14 2024 17:14:02 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:2.73 b:0.000-30.001  L pbs:9064', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '195 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125, 389901.53125], 'network_activity_samples': [615368, 199386], 'live_latency_samples': [None, None], 'buffer_health_samples': [18.13040542602539, 27.42741584777832], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 2.729247}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 1 dropped of 106', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '26.61 s', 'date': 'Fri Jun 14 2024 17:14:03 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:3.39 b:0.000-30.001  L pbs:9064', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '640x360@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125, 389901.53125], 'network_activity_samples': [138, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [27.10828971862793, 26.608030319213867], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 3.394587}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '897x505 / 1 dropped of 252', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '21.95 s', 'date': 'Fri Jun 14 2024 17:14:08 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:8.29 b:0.000-30.001  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125, 389901.53125], 'network_activity_samples': [0, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [26.330608367919922, 21.949045181274414], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 8.286586}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 309', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '19.86 s', 'date': 'Fri Jun 14 2024 17:14:10 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:10.15 b:0.000-30.001  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125], 'network_activity_samples': [0], 'live_latency_samples': [None], 'buffer_health_samples': [19.855485916137695], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 10.147994}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 325', 'bandwidth_kbps': '3046 Kbps', 'buffer_health_seconds': '19.86 s', 'date': 'Fri Jun 14 2024 17:14:10 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:10.69 b:0.000-30.001  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [], 'network_activity_samples': [], 'live_latency_samples': [], 'buffer_health_samples': [], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 10.691638}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 350', 'bandwidth_kbps': '2984 Kbps', 'buffer_health_seconds': '18.47 s', 'date': 'Fri Jun 14 2024 17:14:11 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:11.54 b:0.000-30.001  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '1052 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [389901.53125, 381957.59375], 'network_activity_samples': [0, 1077553], 'live_latency_samples': [None, None], 'buffer_health_samples': [19.29358673095703, 18.4744873046875], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.026121420505154022, 'current_time': 11.537517}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 378', 'bandwidth_kbps': '2984 Kbps', 'buffer_health_seconds': '29.71 s', 'date': 'Fri Jun 14 2024 17:14:12 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:12.50 b:0.000-42.209  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [381957.59375, 381957.59375], 'network_activity_samples': [326292, 138], 'live_latency_samples': [None, None], 'buffer_health_samples': [24.52460479736328, 29.71302032470703], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.03675059663689215, 'current_time': 12.497465}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 412', 'bandwidth_kbps': '2984 Kbps', 'buffer_health_seconds': '34.32 s', 'date': 'Fri Jun 14 2024 17:14:13 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:13.61 b:0.000-47.581  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [381957.59375, 381957.59375], 'network_activity_samples': [0, 0], 'live_latency_samples': [None, None], 'buffer_health_samples': [32.89994430541992, 34.315773010253906], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 13.611367}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 435', 'bandwidth_kbps': '2984 Kbps', 'buffer_health_seconds': '33.37 s', 'date': 'Fri Jun 14 2024 17:14:14 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:14.38 b:0.000-47.581  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [381957.59375, 381957.59375, 381957.59375], 'network_activity_samples': [0, 0, 0], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [33.946903228759766, 33.63969802856445, 33.366661071777344], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 14.375161}
{'video_id_and_cpn': 'r0u5URS3VXE / T5HD RNQW 6S1Z TGTY 8HVG', 'codecs': 'av01.0.04M.08 (397) / opus (251)', 'dims_and_frames': '881x496 / 2 dropped of 474', 'bandwidth_kbps': '2984 Kbps', 'buffer_health_seconds': '32.34 s', 'date': 'Fri Jun 14 2024 17:14:15 GMT+0000 (Coordinated Universal Time)', 'drm_style': 'display:none', 'drm': '', 'debug_info': 'SABR, s:8 t:15.69 b:0.000-47.581  L pbs:9179', 'extra_debug_info': '', 'bandwidth_style': '', 'network_activity_style': '', 'network_activity_bytes': '0 KB', 'shader_info_style': 'display:none', 'playback_categories': '', 'volume': '100% / DRC (content loudness -3.5dB)', 'resolution': '854x480@30 / 854x480@30', 'color': 'bt709 / bt709', 'color_style': '', 'live_mode_style': 'display:none', 'live_latency_style': 'display:none', 'playback_categories_style': 'display:none', 'bandwidth_samples': [381957.59375, 381957.59375, 381957.59375], 'network_activity_samples': [0, 0, 0], 'live_latency_samples': [None, None, None], 'buffer_health_samples': [33.050933837890625, 32.716609954833984, 32.344383239746094], 'cotn_and_local_media_style': 'display:none', 'release_style': 'display:none', 'extra_debug_info_style': 'display:none', 'playback_fraction': 0.04142794602797859, 'current_time': 15.692145}
